"","cell_ID","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"390","X389",0,0.603782060254512,0.396217939745488,0,0,0
"391","X390",0,0.678219944476858,0.121819609949974,0.199960445573168,0,0
"392","X391",0,0.0693163442060308,0.171570174182366,0.759113481611603,0,0
"393","X392",0.635428027512215,0,0.364571972487785,0,0,0
"394","X393",0,0,1,0,0,0
"395","X394",0,0,0.177021601723444,0.822978398276556,0,0
"396","X395",0,0,0.265545040133625,0.734454959866375,0,0
"397","X396",0.193165426082039,0.733108882713351,0,0.0737256912046108,0,0
"398","X397",0.104813813644337,0.599384190658705,0.295801995696959,0,0,0
"399","X398",0.105016227212326,0,0.153219775540277,0.741763997247397,0,0
"400","X399",0,0.324777675462356,0,0.675222324537644,0,0
"401","X400",0.113763302863804,0.389423633113916,0,0.49681306402228,0,0
"402","X401",0,0.575618858840307,0.0653248151337689,0.359056326025924,0,0
"403","X402",0.707145100899404,0,0,0.292854899100596,0,0
"404","X403",0.165771240382607,0.522935132765196,0.311293626852197,0,0,0
"405","X404",0,0,0.168582090122558,0.831417909877442,0,0
"406","X405",0,0,0.360554317778804,0.639445682221196,0,0
"407","X406",0,0,0.0615208481789824,0.633197011929676,0.305282139891341,0
"408","X407",0,0.224760824524377,0.10863707946141,0.666602096014212,0,0
