"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X181",0.179028940804793,0.149076871562074,0.316278078290669,0.0186499189872589,0.285844899935451,0.0511212904197529
"X182",0.182734626110988,0.303349068410209,0.200441637294992,0.0469949211999885,0.188971847230437,0.0775078997533856
"X183",0.122683869352649,0.101041318199923,0.456646061897075,0.191664621897091,0.0723200310234869,0.0556440976297755
"X184",0.437624511082562,0.247777706089102,0.0801623004751327,0.0801994951888883,0.0932950460791758,0.0609409410851396
"X185",0.332957678423104,0.0878403197771218,0.025093213372963,0.0409727644859576,0.442910627477464,0.0702253964633894
"X186",0.231017987403911,0.0595290444547384,0.0334901719593922,0.349668328700626,0.206760064551357,0.119534402929975
"X187",0.29779446754874,0.0700048470226947,0.123831268928312,0.0405739889560908,0.419574576731348,0.0482208508128151
"X188",0.16749659077332,0.142715501381984,0.581064075429603,0.0231408993632088,0.0437637354455136,0.0418191976063703
"X189",0.14896909307806,0.124329001212157,0.509902980559244,0.024819842471015,0.149025536268615,0.0429535464109083
"X190",0.245559439985472,0.10139104260861,0.280102440213827,0.229313837371012,0.0484648412263101,0.0951683985947697
"X191",0.153205260818426,0.0910446410006336,0.453091160480214,0.0518658068684895,0.186832578376771,0.063960552455466
"X192",0.225571621855214,0.0830395356409284,0.284852080744035,0.0350215504687264,0.311142160970839,0.0603730503202571
"X193",0.229941074059512,0.0864821431510367,0.0421568135324929,0.0477694097178891,0.550099131430221,0.0435514281088481
"X194",0.180915100651956,0.118138060923331,0.44807305200151,0.0117335710292505,0.158143013238654,0.0829972021552979
"X195",0.203788338635067,0.0661401767452695,0.274343179072912,0.0717470068012492,0.34328094324484,0.0407003555006615
"X196",0.141927172049045,0.08819159877402,0.473676099774226,0.0384655829063277,0.209603759720781,0.0481357867755998
"X197",0.244381072537487,0.191034293457723,0.196431524790784,0.017448589885318,0.30095730975421,0.0497472095744781
"X198",0.14683145543755,0.111766391998505,0.334468028913197,0.0600801682987755,0.304142405124306,0.0427115502276672
"X199",0.235395169360967,0.0865220400550562,0.0439687347187545,0.207503781746252,0.326721921556041,0.0998883525629291
"X200",0.199277646829077,0.114414181024238,0.437626479024444,0.107201467784972,0.0948061774308824,0.0466740479063869
"X201",0.245336286267688,0.0904869928953992,0.154856462404155,0.18719246930077,0.300030383221662,0.0220974059103257
"X202",0.184728789362688,0.100072121086768,0.358008489254537,0.114763801000385,0.183045136501649,0.0593816627939735
"X203",0.232706233304201,0.236818982711502,0.0876504320215202,0.19275291919587,0.161132731065402,0.0889387017015047
"X204",0.156057426842283,0.116556324573553,0.331548171006644,0.114969860370793,0.212166064376119,0.0687021528306082
"X205",0.132652852103769,0.127907091511517,0.387279559571657,0.0328994720190123,0.256018829669095,0.0632421951249494
"X206",0.485329748996532,0.0274142943167271,0.0360578827897029,0.0298332815885902,0.361185125898827,0.0601796664096201
"X207",0.205672789033932,0.129032500361391,0.347743886191311,0.0277109152762994,0.226728560507939,0.0631113486291278
"X208",0.0849114802193621,0.158633534536596,0.473298335698156,0.11127756962115,0.110156264711698,0.0617228152130377
"X209",0.239285757130018,0.0504501295807473,0.262494646345617,0.195995996168101,0.176861648571218,0.0749118222042986
"X210",0.14173944654937,0.344654728896534,0.31651502096244,0.0189221970173389,0.102635856405621,0.0755327501686965
"X211",0.233254330599646,0.0678806420273569,0.0452967558374564,0.273546021513026,0.267227360010433,0.112794890012082
"X212",0.605861956054758,0.0592095314903157,0.0854285988198128,0.0396302048564657,0.181841813192955,0.0280278955856931
"X213",0.217180006800915,0.154668987880755,0.229153409288969,0.198847845040456,0.136126649349165,0.0640231016397405
"X214",0.259786940642695,0.0841183829842182,0.0443901306902801,0.105258857454321,0.462225332069456,0.0442203561590293
"X215",0.152579127903731,0.308562404766934,0.45188342850826,0.0118259864252641,0.0330563484535693,0.0420927039422413
"X216",0.137470431379379,0.221816031213646,0.36877714321082,0.0338433454859919,0.137951649195888,0.100141399514275
"X217",0.142596383674467,0.109744877434317,0.319979368446083,0.172276809430157,0.208647628310666,0.0467549327043106
"X218",0.231554178183306,0.104527493346436,0.222471403528417,0.190761575772321,0.146292819703064,0.104392529466455
"X219",0.295480516864382,0.0565189979275404,0.0312560720505592,0.0522686403681336,0.488212783132184,0.0762629896572002
"X220",0.304582045565159,0.0545261408147022,0.163324826074281,0.0331755766720327,0.374380924750719,0.0700104861231054
"X221",0.207885701315516,0.081462946606093,0.436944581112801,0.0170423876683728,0.193518989139216,0.0631453941580012
"X222",0.200493606609293,0.11673746057941,0.3582720757713,0.0402775167048311,0.22800834626353,0.0562109940716361
"X223",0.240351410220237,0.046114649165452,0.139887708936955,0.205669939467803,0.280337596288324,0.0876386959212285
"X224",0.14991306970937,0.379946144862067,0.124353519003991,0.196575711042009,0.0391493360706942,0.110062219311868
"X225",0.563761452075879,0.0803805287634713,0.0271195544177176,0.140180826632945,0.114074790679261,0.0744828474307258
"X226",0.212867268682063,0.2015794960357,0.252565654314232,0.142603116072521,0.115710538040539,0.0746739268549459
"X227",0.218935048338597,0.0923767496103651,0.38943000740254,0.0173923830069944,0.237214823672377,0.0446509879691261
"X228",0.118146260789261,0.158040444334682,0.445842830590503,0.0418346777075871,0.164340266771,0.071795519806967
"X229",0.194705782879052,0.370182971728465,0.131323454632217,0.174436733148724,0.0245866377741208,0.104764419837422
"X230",0.23126694252175,0.338556582951562,0.0393850879699554,0.0839550092651746,0.225230681494471,0.0816056957970874
"X231",0.201014418575753,0.262812489633103,0.155858978785758,0.0427466882801324,0.262282180995671,0.0752852437295824
"X232",0.147532692738643,0.10362181732489,0.262689581336479,0.166508357774011,0.227361579407698,0.0922859714182788
"X233",0.190635029061402,0.330121110231152,0.168071683476211,0.0342860561881596,0.203235719977544,0.0736504010655318
"X234",0.139135562637194,0.291654813420883,0.322961493571621,0.108286533480499,0.0733075785875262,0.0646540183022767
"X235",0.191719851471918,0.175476570144069,0.255465168027085,0.282684608144462,0.0315878123338673,0.0630659898785977
