"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X219",0.00011502242440983,0.000115022423950976,0.000115022424416559,0.000115022424486159,0.983505248693978,0.0160346616087585
"X220",0.0125234666833127,0.000219187429902011,0.220657479218541,0.0169571272141375,0.749423552024205,0.000219187429902011
"X221",9.08923493796493e-05,0.0287385482781499,0.730794693980157,0.00218089605217634,0.238104077012356,9.08923277814771e-05
"X222",0.000147447799256867,0.0480288419486304,0.620840267073664,0.0281177759836081,0.298162580089813,0.00470308710502769
"X223",0.000196759769562136,0.000196759786782809,0.15812963434203,0.38739914797533,0.453880938339512,0.000196759786782808
"X224",0.000150673653850134,0.716699627598856,0.000150673671638792,0.260444152725289,0.000356412514540382,0.0221984598358259
"X225",0.648170682939722,0.0085837483974077,0.000660608810007484,0.237906229680211,0.0992793070424841,0.0053994231301676
"X226",0.000291496220811928,0.245161763507714,0.38196268801306,0.248752149549817,0.119655958689873,0.00417594401872314
"X227",0.000138539147564087,0.0259670728112259,0.640378988543038,0.000138539136647513,0.333238321224877,0.000138539136647515
"X228",0.000144733720615798,0.109961479072876,0.714447156650422,0.000144733718701322,0.164969173790893,0.0103327230464912
"X229",0.000100550585160607,0.689651061716059,0.00546562509464057,0.287813000332237,0.000100550575492794,0.0168692116964096
"X230",0.000349337838263356,0.402482090959872,0.000349337838770886,0.178132012836045,0.418337882688294,0.000349337838755019
"X231",0.000327813857406571,0.439693134456144,0.100580563442538,0.00108651729793122,0.44310741052931,0.0152045604166708
"X232",0.000207267164881929,0.0245679113858127,0.3940347336375,0.300991622274917,0.279991198358643,0.000207267178245817
"X233",0.00367269977369841,0.534097521883293,0.096904217405224,0.00121515292047532,0.348470415428672,0.0156399925886377
"X234",9.65509137948691e-05,0.255362491229573,0.593475805380277,0.102353453433541,0.0486151481338206,9.65509089926985e-05
"X235",0.000298862341692889,0.134457674578895,0.398024987637213,0.466620750792134,0.000298862325032692,0.000298862325032698
"X236",0.00020920386159989,0.354637172083875,0.000209203861475057,0.294583558715068,0.350151657616557,0.000209203861424512
"X237",0.000165084573274859,0.768342360930961,0.000165084592673552,0.0193581455802689,0.203108623429406,0.00886070089341592
"X238",0.00014683552399734,0.14365876072322,0.677033293358433,0.0140761944028954,0.156241183474492,0.00884373251696209
"X239",0.0997815591086592,0.0208826049531978,0.659038181072306,0.200205623975877,0.0177905704725277,0.00230146041743225
"X240",0.000208029695149584,0.128734881903924,0.544150611345655,0.000208029727511755,0.326490417600248,0.000208029727511685
